Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
3949|5005113|160|HLXU8251241|3|2026-01-07 13:36:06|
3949|5104821|071|53619|56|2026-01-08 13:26:00|
1680|5000912|240|UMXU894824|22|2026-01-14 12:06:02|
1680|5087442|240|SNLU192865|22|2026-01-23 11:10:08|
1680|5034293|800|1402|56|2026-01-06 16:24:05|
3949|5104818|071|53471|56|2026-01-07 14:41:01|
1680|5035180|800|537278|56|2026-01-19 16:02:02|
1680|5000291|230|JS100|60|2026-01-07 13:58:03|
3129|6000613|240|8770|56|2026-01-21 16:01:11|
1680|5083929|240|MNLU234772|22|2026-01-19 09:16:02|
1680|5083929|240|MNLU234980|22|2026-01-19 09:16:02|
3129|6000613|240|53606|56|2026-01-21 16:01:11|
3949|5005114|160|HLBU3091797|3|2026-01-08 09:55:01|
1669|5023108|430|MRKU5013869|3|2026-01-06 10:08:00|
1680|5083929|240|UMXU251271|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU252093|22|2026-01-19 09:16:02|
3129|6000603|240|8786|56|2026-01-21 12:03:03|
3129|6000613|240|11942WLA|56|2026-01-21 16:01:11|
1680|5000932|240|E81977|56|2026-01-05 17:10:02|
1680|5083929|240|UMXU267180|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU938101|22|2026-01-19 09:16:02|
3129|5026337|240|VGZ724|56|2026-01-14 09:03:03|
1680|5035180|800|55231|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU939104|22|2026-01-19 09:16:02|
1680|5036308|240|TRA1405|60|2026-01-02 16:20:09|
1680|5092175|240|CWSU260517|60|2026-01-07 10:05:03|
1680|5083929|240|UMXU891753|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU894019|22|2026-01-19 09:16:02|
1680|5035182|800|693735|56|2026-01-08 15:17:01|
1669|5023108|430|TCNU1722831|3|2026-01-06 10:08:00|
1680|5083929|240|UMXU253362|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU254043|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU246746|63|2026-01-08 18:09:02|
1680|5000912|240|UMXU898426|22|2026-01-14 12:06:02|
3129|6000613|240|424-61|56|2026-01-21 16:01:11|
1680|5000277|230|ATW33524|63|2026-01-08 13:14:01|
1680|5083929|240|MNLU234897|22|2026-01-19 09:16:02|
1680|5035180|800|536080|56|2026-01-19 16:02:02|
1680|5000283|230|5359|56|2026-01-07 12:44:01|
3949|5104841|071|531119|56|2026-01-09 13:40:01|
1680|5035180|800|UMXU633950|22|2026-01-19 16:02:02|
1680|5083929|240|MNLU234943|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU267962|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU635293|22|2026-01-19 09:16:02|
1680|5000912|240|UMXU255375|22|2026-01-14 12:06:02|
1680|5087442|240|MNLU234501|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU255963|22|2026-01-19 09:16:02|
1680|5001377|270|UMXU889606|63|2026-01-08 18:09:01|
3129|6000603|240|53138|56|2026-01-21 12:03:03|
1680|6024614|240|W37316|56|2026-01-15 18:49:04|
1680|5035180|800|94AL1S|68|2026-01-19 16:02:02|
3129|6000603|240|W20017|56|2026-01-21 12:03:03|
1680|5083929|240|UMXU936648|22|2026-01-19 09:16:02|
1680|5036308|240|F583|60|2026-01-02 16:20:09|
1680|5087442|240|SNLU996638|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU232772|22|2026-01-23 11:10:08|
3129|5026337|240|M2100|56|2026-01-14 09:03:03|
1680|5035180|800|H53251|56|2026-01-19 16:02:02|
1680|5018471|800|116|60|2026-01-08 15:33:12|
1680|5083929|240|UMXU246512|22|2026-01-19 09:16:02|
1669|6900631|430|FSCU7217363|3|2026-01-13 11:45:01|
1669|5023108|430|HASU4305597|3|2026-01-06 10:08:00|
1680|5001377|270|UMXU252086|63|2026-01-08 18:09:01|
1680|5001377|270|UMXU936402|63|2026-01-08 18:09:01|
1680|5087442|240|MNLU234619|22|2026-01-23 11:10:08|
1680|5083929|240|UMXU933668|22|2026-01-19 09:16:02|
3129|6000613|240|15648MSM|56|2026-01-21 16:01:11|
1680|5083929|240|UMXU632155|22|2026-01-19 09:16:02|
1680|5083929|240|SNLU138568|22|2026-01-19 09:16:02|
3129|5026337|240|97967MSM|56|2026-01-14 09:03:03|
1680|5087442|240|UMXU234559|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU236016|22|2026-01-23 11:10:08|
1669|5023108|430|MRSU5250288|3|2026-01-06 10:08:00|
1680|5083929|240|SNLU151916|22|2026-01-19 09:16:02|
3129|6000603|240|15635MSM|56|2026-01-21 12:03:03|
1669|5023108|430|MSKU5927906|1|2026-01-06 10:08:00|
3129|6000613|240|172|56|2026-01-21 16:01:11|
3129|6000613|240|15970MSM|56|2026-01-21 16:01:11|
1680|6011262|240|TTGX941598|63|2026-01-22 18:35:11|
1680|5000912|240|UMXU251337|22|2026-01-14 12:06:02|
1669|5023108|430|TCKU6870610|3|2026-01-06 10:08:00|
1680|5035180|800|5371|56|2026-01-19 16:02:02|
1680|5035180|800|JH015|56|2026-01-19 16:02:02|
1680|5087442|240|UMXU266267|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU881353|22|2026-01-23 11:10:08|
1680|5001378|270|UMXU632477|63|2026-01-08 18:09:02|
1680|5087442|240|UMXU237315|22|2026-01-23 11:10:08|
1680|5087442|240|UMXU238481|22|2026-01-23 11:10:08|
