Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3147|6001012|650|87088012|220|6|0|5|2026-01-16 12:14:01|
3147|5005570|850|73181606|88|6|6|1|2026-01-09 23:47:03|
1680|6002495|800|84139113|2|6|0|12535|2026-01-23 15:46:03|
1669|5003140|510|87085099|321|3|21|8349|2026-01-13 17:37:00|
3147|5038781|470|83023091|29|6|6|63|2026-01-29 22:00:01|
3147|5038781|470|70071199|4|3|21|180|2026-01-29 22:00:01|
1669|5003140|510|40093205|45|3|21|767|2026-01-13 17:37:00|
3147|6001325|470|73269099|12|3|0|16|2026-01-21 17:57:01|
3147|5005570|850|83021002|60|3|21|20|2026-01-09 23:47:03|
3147|6001014|650|73181606|60|6|0|15348|2026-01-20 11:43:01|
3949|6020001|670|85013105|1191|6|0|3517|2026-01-13 15:53:00|
3147|6001012|650|87082999|245|3|0|13|2026-01-16 12:14:01|
3147|6001012|650|87084099|83|3|0|4|2026-01-16 12:14:01|
3147|6001012|650|87089999|460|3|0|6|2026-01-16 12:14:01|
3147|6001012|650|73181606|225|3|0|21|2026-01-16 12:14:01|
3949|6020001|670|87082909|1651|3|0|759|2026-01-13 15:53:00|
3147|5005609|850|87083009|92|6|6|437|2026-01-20 14:43:15|
3147|5005570|850|87089412|44|3|21|2275|2026-01-09 23:47:03|
1680|6011265|240|87029099|1|3|0|229072|2026-01-23 16:59:05|
1669|6900631|430|85444299|390|6|6|17|2026-01-13 11:45:01|
1680|5000866|240|85013199|353|3|21|3217|2026-01-27 17:59:02|
1680|5000866|240|83012002|166|3|21|2060|2026-01-27 17:59:02|
1669|5003140|510|73181599|77|3|21|619|2026-01-13 17:37:00|
3147|6001014|650|83012002|57|3|0|405|2026-01-20 11:43:01|
1680|6000826|800|85369099|10|3|0|1216|2026-01-09 16:32:01|
3147|6001012|650|39269099|445|6|0|1|2026-01-16 12:14:01|
3949|6020001|670|87082201|1599|6|0|5695|2026-01-13 15:53:00|
3147|5005608|850|73181599|16|6|6|21|2026-01-20 14:03:06|
3147|6001012|650|73181599|480|6|0|20|2026-01-16 12:14:01|
3147|6001012|650|84818022|151|3|0|127|2026-01-16 12:14:01|
3147|6001012|650|87084099|61|3|0|205|2026-01-16 12:14:01|
3949|6020001|670|84841001|1135|3|0|2295|2026-01-13 15:53:00|
3376|6001547|240|73269099|15|6|6|6|2026-01-16 10:05:08|
3949|6020001|670|87083099|1838|3|0|294|2026-01-13 15:53:00|
3147|6001325|470|49019991|7|3|9|115|2026-01-21 17:57:01|
3949|6020001|670|83099001|605|3|0|109|2026-01-13 15:53:00|
1680|5000866|240|84219999|272|3|21|1944|2026-01-27 17:59:02|
3147|5005612|850|85437099|18|3|21|4222|2026-01-26 19:52:11|
1680|6000839|800|39269099|1|6|0|775|2026-01-13 11:59:01|
1680|6000840|800|84213999|5|3|0|930|2026-01-23 14:22:02|
3949|6020001|670|87083099|1806|3|0|14706|2026-01-13 15:53:00|
3376|6001547|240|73269099|13|6|6|6|2026-01-16 10:05:08|
3949|6020001|670|84212301|871|6|0|612|2026-01-13 15:53:00|
3147|6001012|650|87083099|181|3|0|3|2026-01-16 12:14:01|
3147|6001012|650|87083099|183|3|0|3|2026-01-16 12:14:01|
3147|6001012|650|87083099|203|3|0|9|2026-01-16 12:14:01|
3147|6001012|650|39269099|350|6|0|4|2026-01-16 12:14:01|
