Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1669|6900409|510|87034099|2|CP||24VEH001105/1526|2708035.00|53.00000|2026-01-16 11:13:01|
1680|6024611|240|27101902|1|C1||1702C126000027|42877.98|18124.49500|2026-01-14 14:58:06|
1680|6024616|240|27101902|1|C1||1702C126000027|27755.53|10220.58000|2026-01-16 16:34:11|
1680|6024607|240|27101902|2|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|10070.53|4613.45600|2026-01-14 13:46:04|
1680|6024615|240|27101902|2|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|2156.11|953.92100|2026-01-15 19:51:04|
1680|6024614|240|27101902|1|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|42167.66|19078.41600|2026-01-15 18:49:04|
1680|5005477|230|27101902|1|C1||1702C125001061|129669.87|59336.30100|2026-01-06 19:04:02|
1680|6024624|240|27101902|3|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|37950.90|17170.57400|2026-01-20 18:31:03|
1669|6007883|430|87043199|2|CP||25VEH001135/9901|4936110.00|181.00000|2026-01-19 14:05:01|
1680|6024624|240|27101902|3|C1||1702C126000027|37950.90|17170.57400|2026-01-20 18:31:03|
1680|6024608|240|27101902|2|C1||1702C126000027|21748.81|7631.36600|2026-01-14 18:42:03|
1680|5000866|240|32082003|1|N3||NOM-003-SSA1-2006|126.15|11.49200|2026-01-27 17:59:02|
1680|6024619|240|27101902|1|C1||1702C126000027|42167.66|19078.41600|2026-01-15 19:52:02|
1680|6024608|240|27101902|3|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|6184.32|2799.30300|2026-01-14 18:42:03|
1680|6024612|240|27101902|3|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|2105.26|953.92100|2026-01-15 18:47:07|
1680|6024606|240|27101902|4|NM|NYC-2402C0AL00126|NOM-116-SCFI-2018|8306.08|1845.38200|2026-01-14 20:36:01|
1680|6024601|240|27101902|5|C1||1702C126000027|3969.52|1845.38200|2026-01-13 14:57:04|
1680|6024635|240|27101902|4|C1||1702C126000027|10407.10|4769.60400|2026-01-26 13:49:06|
