Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
1680|6011242|240|87043299|4|01|VEHICULOS AUTOMOVILES,FORD F-350 SUPER DUTY MODELO 2026 MOTOR DE GASOLINA PESO/CARGA SUP.5,000 KG HASTA 6,351 KG|617745.66667|1882715|1853237|104016.87|3.000|6|3.00000|6||1|1||FORD|F-350 2026|USA|USA| | | | |1|A1|2026-01-16 18:26:14|
3147|6001012|650|90328102|171|00|MODULO DE CONTROL HIDRAULICO|1782.00000|1964|1782|100.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005609|850|87087099|104|99|RIN DE ALUMINIO|2494.00000|2494|2494|136.98|1.000|6|1.00000|6||1|1||||KOR|USA| | | | |1|F2|2026-01-20 14:43:15|
3147|6001012|650|85443099|251|01|ARNES ELECTRICO DE USO AUTOMOTRIZ|356.00000|392|356|20.00|1.000|6|0.05400|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87082999|435|99|SOPORTE DE CARROCERIA|178.00000|196|178|10.00|1.000|6|1.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005609|850|85189099|47|01|REJILLA DE ALTAVOZ|73.50000|147|147|8.08|2.000|6|2.00000|6||1|1||||USA|USA| | | | |1|F2|2026-01-20 14:43:15|
1680|6000841|800|90262099|14|99|SENSOR DE PRESION|9414.00000|10374|9414|528.38|1.000|6|1.00000|6||0|1||||USA|USA| | | | |1|F3|2026-01-16 16:47:01|
3147|6001012|650|85389005|484|00|CIRCUITO MODULAR PARA PANEL DE CONTROL|89.00000|196|178|10.00|2.000|6|2.00000|6||1|6||||CHN|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|6020001|670|87081099|1576|00|AISLADOR  SOPORTE RADIADOR,|19.25000|83|77|4.28|4.000|6|4.00000|6||1|1||||ESP|USA| | | | |1|F3|2026-01-13 15:53:00|
3949|5060539|071|853890|7|00|UN LOTE DE MATERIAL DE ENSAMBLE|11.03000|87990|82693|4580.25|7500.000|6|585.00000|1||1|6||||MEX|USA| | | | |1|F2|2026-01-09 16:59:04|
1669|6900631|430|40093205|53|01|TUBO RESPIRADERO|108.73077|3504|2827|157.72|26.000|6|3.09119|1||1|1||||ESP|GBR| | | | |1|F2|2026-01-13 11:45:01|
1680|6011270|240|87043299|3|01|VEHICULOS AUTOMOVILES,FORD F-350 SUPER DUTY MODELO 2026 MOTOR DE GASOLINA PESO/CARGA SUP.5,000 KG HASTA 6,351 KG|611176.75000|2497817|2444707|140081.74|4.000|6|4.00000|6||1|1||FORD|F-350 2026|USA|USA| | | | |1|A1|2026-01-23 18:46:04|
1680|6002495|800|84123199|1|00|CILINDRO NEUMATICO|7103.00000|15654|14206|813.98|2.000|6|2.00000|6||0|1||||USA|USA| | | | |1|F3|2026-01-23 15:46:03|
1669|6900631|430|84835003|281|99|POLEA|103.03390|15069|12158|678.30|118.000|6|13.74220|1||1|1||||FRA|GBR| | | | |1|F2|2026-01-13 11:45:01|
1680|6000826|800|84833004|7|99|COJINETE|10628.00000|35134|31884|1775.40|3.000|6|0.45300|1||0|1||||DEU|USA| | | | |1|F3|2026-01-09 16:32:01|
3949|5104840|071|96082001|192|00|MARCADORES|70.74259|38625|38201|2124.72|540.000|6|540.00000|6||0|1||UNIPAINT||VNM|USA| | | | |1|F2|2026-01-14 15:39:02|
3147|6001012|650|84136099|458|01|BOMBA PARA LIMPIAPARABRISAS|89.00000|98|89|5.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3376|6001547|240|73269099|9|99|UN LOTE RACKS PALLETS SEPARADORES EMBALAJE REUTILIZABLE O ENVASES VACIOS O CONTENIENDO MERCANCIA|18.00000|18|18|1.00|1.000|5|7358.00000|1||1|6||||USA|USA| | | | |1|F2|2026-01-16 10:05:08|
1680|6024624|240|27101902|3|00|ACEITES LUBRICANTES|39.09165|778735|671226|37950.90|17170.574|8|17170.57400|8||0|1||||USA|USA| | | | |1|A1|2026-01-20 18:31:03|
3147|6001012|650|40169999|219|07|ELEMENTO PARA EL CONTROL DE LA VIBRACION DE CAUCHO|35.50000|78|71|4.00|2.000|6|1.68000|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87083099|183|99|SOPORTE DE MANGUERA DE FRENOS|18.00000|20|18|1.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|6011253|240|87032499|1|00|VEHICULOS AUTOMOVILES, FORD EXPEDITION PLATINUM, MODELO 2026 MOTOR DE GASOLINA, CAPACIDAD 3,500 CM3|1091236.60000|5504540|5456183|308490.75|5.000|6|5.00000|6||1|1||FORD|EXPEDITION 2026|USA|USA| | | | |1|A1|2026-01-20 18:30:09|
3147|6001012|650|85443099|141|01|ARNES ELECTRICO DE USO AUTOMOTRIZ|392.00000|432|392|22.00|1.000|6|0.93100|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87082917|321|00|JUNTA PREFORMADA PARA CARROCERIA|53.00000|58|53|3.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
1669|6900631|430|87082999|530|99|REJILLA DE ADORNO|142.00000|1056|852|47.52|6.000|6|6.00000|6||1|1||||TUR|GBR| | | | |1|F2|2026-01-13 11:45:01|
3949|5104841|071|84716004|35|99|TABLERO DE CAPTURA|3539.50000|14315|14158|787.48|4.000|6|4.00000|6||0|1||EPAD|VP9801|USA|USA| | | | |1|F2|2026-01-09 13:40:01|
3949|6020001|670|83023091|593|00|APOYO NEUMATICO, BRAZO DE RETENCION DE PUERTA, RODILLO, RODILLOS DE GUIA C. PLACA DE SOPTE.,|148.30769|2084|1928|107.30|13.000|6|4.20569|1||1|1||||GBR|GBR| | | | |1|F3|2026-01-13 15:53:00|
3147|5005570|850|87081099|105|00|BRAZO DEL PARACHOQUES|1111.00000|2754|2222|123.96|2.000|6|2.00000|6||1|1||||CHN|CHN| | | | |1|F2|2026-01-09 23:47:03|
3147|5005570|850|39269099|8|06|MANUFACTURA DE PLASTICO PARA USO AUTOMOTRIZ|107.00000|133|107|5.95|1.000|6|0.22900|1||1|1||||THA|THA| | | | |1|F2|2026-01-09 23:47:03|
3949|6020001|670|85122099|1293|00|LAMPARA  INTERIOR, LUZ INTERIOR,|97.28571|736|681|37.93|7.000|6|1.93000|1||1|1||||SVK|USA| | | | |1|F3|2026-01-13 15:53:00|
3949|5104841|071|84879099|48|00|AMORTIGUADOR|2009.14286|14220|14064|782.26|7.000|6|1.31500|1||0|1||ACE, PARKER||USA|USA| | | | |1|F2|2026-01-09 13:40:01|
3949|5104840|071|84139113|72|99|PISTON PARA BOMBA|36282.00000|146737|145128|8072.00|4.000|6|1.81400|1||0|1||HAMMELMANN||DEU|CAN| | | | |1|F2|2026-01-14 15:39:02|
